Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 1992,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,4136000,36052,455,1704,,6819,27074,181837,49053,117801,14983,871.7,11,41.2,,164.9,654.6,4396.4,1186,2848.2,362.3
Alaska,587000,3877,44,579,,640,2614,28816,5170,20728,2918,660.5,7.5,98.6,,109,445.3,4909,880.7,3531.2,497.1
Arizona,3832000,25706,312,1647,,5867,17880,243629,54095,158053,31481,670.8,8.1,43,,153.1,466.6,6357.8,1411.7,4124.6,821.5
Arkansas,2399000,13831,259,990,,3011,9571,100402,26214,66288,7900,576.5,10.8,41.3,,125.5,399,4185.2,1092.7,2763.2,329.3
California,30867000,345624,3921,12761,,130897,198045,1716137,427491,968534,320112,1119.7,12.7,41.3,,424.1,641.6,5559.8,1384.9,3137.8,1037.1
Colorado,3470000,20086,216,1641,,4180,14049,186684,37853,131169,17662,578.8,6.2,47.3,,120.5,404.9,5379.9,1090.9,3780.1,509
Connecticut,3281000,16252,166,884,,6918,8284,149535,36372,89463,23700,495.3,5.1,26.9,,210.9,252.5,4557.6,1108.6,2726.7,722.3
Delaware,689000,4280,32,591,,1042,2615,29126,6598,20419,2109,621.2,4.6,85.8,,151.2,379.5,4227.3,957.6,2963.6,306.1
District of Columbia,589000,16685,443,215,,7459,8568,50502,10721,30663,9118,2832.8,75.2,36.5,,1266.4,1454.7,8574.2,1820.2,5205.9,1548
Florida,13488000,162827,1208,7310,,49482,104827,964533,254755,598093,111685,1207.2,9,54.2,,366.9,777.2,7151,1888.8,4434.3,828
Georgia,6751000,49496,741,3057,,16863,28835,382934,97402,246619,38913,733.2,11,45.3,,249.8,427.1,5672.3,1442.8,3653.1,576.4
Hawaii,1160000,2998,42,440,,1151,1365,67901,13006,50544,4351,258.4,3.6,37.9,,99.2,117.7,5853.5,1121.2,4357.2,375.1
Idaho,1067000,3003,37,339,,229,2398,39636,7934,30023,1679,281.4,3.5,31.8,,21.5,224.7,3714.7,743.6,2813.8,157.4
Illinois,11631000,113664,1322,4312,,47973,60057,556900,125306,359618,71976,977.3,11.4,37.1,,412.5,516.4,4788.1,1077.3,3091.9,618.8
Indiana,5662000,28791,464,2398,,6921,19008,236584,53907,157181,25496,508.5,8.2,42.4,,122.2,335.7,4178.5,952.1,2776.1,450.3
Iowa,2812000,7816,44,528,,1113,6131,103459,21197,77788,4474,278,1.6,18.8,,39.6,218,3679.2,753.8,2766.3,159.1
