Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 1999,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,4369862,21421,345,1513,,5297,14266,171398,38648,119616,13134,490.2,7.9,34.6,,121.2,326.5,3922.3,884.4,2737.3,300.6
Alaska,619500,3908,52,517,,566,2773,23099,3787,16654,2658,630.8,8.4,83.5,,91.4,447.6,3728.7,611.3,2688.3,429.1
Arizona,4778332,26334,384,1383,,7288,17279,255401,49423,167731,38247,551.1,8,28.9,,152.5,361.6,5345,1034.3,3510.2,800.4
Arkansas,2551373,10848,143,710,,2024,7971,92283,21692,63927,6664,425.2,5.6,27.8,,79.3,312.4,3617,850.2,2505.6,261.2
California,33145121,207879,2005,9363,,60039,136472,1053285,223814,660991,168480,627.2,6,28.2,,181.1,411.7,3177.8,675.3,1994.2,508.3
Colorado,4056133,13811,185,1679,,3056,8891,151002,26979,109228,14795,340.5,4.6,41.4,,75.3,219.2,3722.8,665.1,2692.9,364.8
Connecticut,3282031,11342,107,654,,4054,6527,99894,19298,69299,11297,345.6,3.3,19.9,,123.5,198.9,3043.7,588,2111.5,344.2
Delaware,753538,5534,24,529,,1492,3489,30922,5245,22634,3043,734.4,3.2,70.2,,198,463,4103.6,696,3003.7,403.8
District of Columbia,519000,8448,241,248,,3344,4615,33420,5067,21701,6652,1627.7,46.4,47.8,,644.3,889.2,6439.3,976.3,4181.3,1281.7
Florida,15111244,129044,859,6990,,31969,89226,808674,181378,534105,93191,854,5.7,46.3,,211.6,590.5,5351.5,1200.3,3534.5,616.7
Georgia,7788240,41585,583,2319,,12962,25721,359383,71429,247834,40120,533.9,7.5,29.8,,166.4,330.3,4614.4,917.1,3182.2,515.1
Hawaii,1185497,2785,44,354,,1044,1343,54539,9421,40458,4660,234.9,3.7,29.9,,88.1,113.3,4600.5,794.7,3412.7,393.1
Idaho,1251700,3066,25,417,,223,2401,36363,7641,26824,1898,244.9,2,33.3,,17.8,191.8,2905.1,610.4,2143,151.6
Illinois,12128370,83621,939,4297,,26365,52020,463939,86317,320954,56668,689.5,7.7,35.4,,217.4,428.9,3825.2,711.7,2646.3,467.2
Indiana,5942901,22261,391,1607,,6496,13767,201547,42463,138794,20290,374.6,6.6,27,,109.3,231.7,3391.4,714.5,2335.5,341.4
Iowa,2869413,8034,43,780,,1051,6160,84463,17012,62316,5135,280,1.5,27.2,,36.6,214.7,2943.6,592.9,2171.7,179
