Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 1998,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,4352000,22286,354,1443,,5698,14791,177779,41965,120943,14871,512.1,8.1,33.2,,130.9,339.9,4085,964.3,2779,341.7
Alaska,614000,4015,41,421,,532,3021,25316,4098,18611,2607,653.9,6.7,68.6,,86.6,492,4123.1,667.4,3031.1,424.6
Arizona,4669000,26984,376,1451,,7715,17442,280001,56473,183137,40391,577.9,8.1,31.1,,165.2,373.6,5997,1209.5,3922.4,865.1
Arkansas,2538000,12442,201,893,,2442,8906,96271,23559,65525,7187,490.2,7.9,35.2,,96.2,350.9,3793.2,928.3,2581.8,283.2
California,32667000,229883,2171,9782,,68782,149148,1188791,269012,724262,195517,703.7,6.6,29.9,,210.6,456.6,3639.1,823.5,2217.1,598.5
Colorado,3971000,15008,183,1883,,3238,9704,163189,31231,115871,16087,377.9,4.6,47.4,,81.5,244.4,4109.5,786.5,2917.9,405.1
Connecticut,3274000,11993,135,728,,4379,6751,111978,21801,77472,12705,366.3,4.1,22.2,,133.8,206.2,3420.2,665.9,2366.3,388.1
Delaware,744000,5672,21,499,,1445,3707,34230,6395,24649,3186,762.4,2.8,67.1,,194.2,498.3,4600.8,859.5,3313,428.2
District of Columbia,523000,8988,260,190,,3606,4932,37222,6361,24360,6501,1718.5,49.7,36.3,,689.5,943,7117,1216.3,4657.7,1243
Florida,14916000,140016,967,7404,,36198,95447,887107,203105,579752,104250,938.7,6.5,49.6,,242.7,639.9,5947.4,1361.7,3886.8,698.9
Georgia,7642000,43762,618,2322,,14308,26514,373717,75720,255459,42538,572.7,8.1,30.4,,187.2,347,4890.3,990.8,3342.8,556.6
Hawaii,1193000,2946,24,352,,1225,1345,60677,11169,43914,5594,246.9,2,29.5,,102.7,112.7,5086.1,936.2,3681,468.9
Idaho,1229000,3468,36,386,,264,2782,42185,8518,31385,2282,282.2,2.9,31.4,,21.5,226.4,3432.5,693.1,2553.7,185.7
Illinois,12045000,97291,1008,4095,,29927,62261,487915,97792,337191,52932,807.7,8.4,34,,248.5,516.9,4050.8,811.9,2799.4,439.5
Indiana,5899000,25423,454,1952,,6561,16456,220529,46552,152790,21187,431,7.7,33.1,,111.2,279,3738.4,789.2,2590.1,359.2
Iowa,2862000,8916,54,728,,1456,6678,91272,19282,66016,5974,311.5,1.9,25.4,,50.9,233.3,3189.1,673.7,2306.6,208.7
