Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 2015,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,"4,858,979","22,952",348,"1,456","2,039","4,611","15,954","144,746","35,255","99,156","10,335",472.4,7.2,30,42,94.9,328.3,"2,978.90",725.6,"2,040.70",212.7
Alaska,"738,432","5,392",59,650,901,761,"3,671","20,806","3,511","15,249","2,046",730.2,8,88,122,103.1,497.1,"2,817.60",475.5,"2,065.10",277.1
Arizona,"6,828,065","28,012",309,"2,294","3,108","6,360","18,235","207,107","37,957","152,365","16,785",410.2,4.5,33.6,45.5,93.1,267.1,"3,033.20",555.9,"2,231.50",245.8
Arkansas,"2,978,204","15,526",181,"1,300","1,931","2,098","11,316","96,836","22,640","68,424","5,772",521.3,6.1,43.7,64.8,70.4,380,"3,251.50",760.2,"2,297.50",193.8
California,"39,144,818","166,883","1,861","9,387","12,811","52,862","99,349","1,024,914","197,404","656,517","170,993",426.3,4.8,24,32.7,135,253.8,"2,618.30",504.3,"1,677.10",436.8
Colorado,"5,456,574","17,515",176,"2,377","3,257","3,323","10,759","144,136","23,454","104,682","16,000",321,3.2,43.6,59.7,60.9,197.2,"2,641.50",429.8,"1,918.50",293.2
Connecticut,"3,590,886","7,845",117,582,773,"2,892","4,063","65,066","10,053","48,675","6,338",218.5,3.3,16.2,21.5,80.5,113.1,"1,812.00",280,"1,355.50",176.5
Delaware,"945,934","4,720",63,243,341,"1,235","3,081","25,455","4,773","19,501","1,181",499,6.7,25.7,36,130.6,325.7,"2,691.00",504.6,"2,061.60",124.9
District of Columbia,"672,228","8,531",162,366,494,"3,742","4,133","31,435","2,971","25,200","3,264","1,269.10",24.1,54.4,73.5,556.7,614.8,"4,676.20",442,"3,748.70",485.5
Florida,"20,271,272","93,626","1,041","5,430","7,553","21,137","63,895","570,270","109,268","420,341","40,661",461.9,5.1,26.8,37.3,104.3,315.2,"2,813.20",539,"2,073.60",200.6
Georgia,"10,214,860","38,643",615,"2,296","3,224","12,247","22,557","308,723","66,374","215,867","26,482",378.3,6,22.5,31.6,119.9,220.8,"3,022.30",649.8,"2,113.30",259.2
Hawaii,"1,431,603","4,201",19,400,561,"1,203","2,418","54,346","6,557","42,010","5,779",293.4,1.3,27.9,39.2,84,168.9,"3,796.20",458,"2,934.50",403.7
