Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 2002,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,4478896,19931,303,1664,,5962,12002,180400,42578,123932,13890,445,6.8,37.2,,133.1,268,4027.8,950.6,2767,310.1
Alaska,641482,3627,33,511,,489,2594,24118,3908,17739,2471,565.4,5.1,79.7,,76.2,404.4,3759.7,609.2,2765.3,385.2
Arizona,5441125,30171,387,1608,,8000,20176,318296,59087,201541,57668,554.5,7.1,29.6,,147,370.8,5849.8,1085.9,3704,1059.9
Arkansas,2706268,11501,142,754,,2524,8081,101171,23229,71129,6813,425,5.2,27.9,,93.3,298.6,3738.4,858.3,2628.3,251.7
California,35001986,208388,2395,10198,,64968,130827,1176484,238428,715692,222364,595.4,6.8,29.1,,185.6,373.8,3361.2,681.2,2044.7,635.3
Colorado,4501051,15882,179,2066,,3579,10058,180054,31678,125193,23183,352.9,4,45.9,,79.5,223.5,4000.3,703.8,2781.4,515.1
Connecticut,3458587,10807,84,740,,4069,5914,93426,17111,64735,11580,312.5,2.4,21.4,,117.6,171,2701.3,494.7,1871.7,334.8
Delaware,805945,4836,26,358,,1154,3298,26967,5355,18555,3057,600,3.2,44.4,,143.2,409.2,3346,664.4,2302.3,379.3
District of Columbia,569157,9322,264,262,,3834,4962,36477,5170,21708,9599,1637.9,46.4,46,,673.6,871.8,6409,908.4,3814.1,1686.5
Florida,16691701,128721,911,6753,,32581,88476,777236,177242,511478,88516,771.2,5.5,40.5,,195.2,530.1,4656.4,1061.9,3064.3,530.3
Georgia,8544005,39271,606,2108,,13432,23125,346559,73932,234591,38036,459.6,7.1,24.7,,157.2,270.7,4056.2,865.3,2745.7,445.2
Hawaii,1240663,3262,24,372,,1210,1656,71976,12722,49344,9910,262.9,1.9,30,,97.5,133.5,5801.4,1025.4,3977.2,798.8
Idaho,1343124,3419,36,497,,240,2646,39128,7441,29060,2627,254.6,2.7,37,,17.9,197,2913.2,554,2163.6,195.6
Illinois,12586447,75759,961,4370,,25314,45114,430479,81440,304227,44812,601.9,7.6,34.7,,201.1,358.4,3420.2,647,2417.1,356
Indiana,6156913,22001,362,1843,,6612,13184,208965,42605,146073,20287,357.3,5.9,29.9,,107.4,214.1,3394,692,2372.5,329.5
Iowa,2935840,8388,44,797,,1169,6378,92877,18643,68411,5823,285.7,1.5,27.1,,39.8,217.2,3163.6,635,2330.2,198.3
