Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 2016,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,"4,863,300","25,886",407,"1,385","1,916","4,686","18,877","143,362","34,065","97,574","11,723",532.3,8.4,28.5,39.4,96.4,388.2,"2,947.8",700.5,"2,006.3",241.1
Alaska,"741,894","5,966",52,757,"1,053",850,"4,011","24,876","4,053","17,766","3,057",804.2,7.0,102.0,141.9,114.6,540.6,"3,353.0",546.3,"2,394.7",412.1
Arizona,"6,931,071","32,583",380,"2,452","3,290","7,055","21,858","206,432","37,736","150,275","18,421",470.1,5.5,35.4,47.5,101.8,315.4,"2,978.4",544.4,"2,168.1",265.8
Arkansas,"2,988,248","16,461",216,"1,545","2,143","2,120","11,982","97,673","23,771","66,747","7,155",550.9,7.2,51.7,71.7,70.9,401.0,"3,268.6",795.5,"2,233.6",239.4
California,"39,250,017","174,796","1,930","10,149","13,702","54,789","104,375","1,002,070","188,304","637,010","176,756",445.3,4.9,25.9,34.9,139.6,265.9,"2,553.0",479.8,"1,623.0",450.3
Colorado,"5,540,545","18,983",204,"2,619","3,555","3,528","11,696","151,850","23,903","108,336","19,611",342.6,3.7,47.3,64.2,63.7,211.1,"2,740.7",431.4,"1,955.3",354.0
Connecticut,"3,576,452","8,123",78,561,763,"2,703","4,579","64,664","10,045","47,512","7,107",227.1,2.2,15.7,21.3,75.6,128.0,"1,808.0",280.9,"1,328.5",198.7
Delaware,"952,065","4,844",56,221,308,"1,359","3,121","26,334","5,023","19,791","1,520",508.8,5.9,23.2,32.4,142.7,327.8,"2,766.0",527.6,"2,078.7",159.7
District of Columbia,"681,170","8,214",139,401,532,"3,480","4,063","32,716","2,361","27,382","2,973","1,205.9",20.4,58.9,78.1,510.9,596.5,"4,802.9",346.6,"4,019.8",436.5
Florida,"20,612,439","88,700","1,111","5,528","7,598","20,175","59,816","553,812","100,325","410,352","43,135",430.3,5.4,26.8,36.9,97.9,290.2,"2,686.8",486.7,"1,990.8",209.3
Georgia,"10,310,371","40,990",681,"2,528","3,509","12,205","24,595","309,770","63,344","219,625","26,801",397.6,6.6,24.5,34.0,118.4,238.5,"3,004.5",614.4,"2,130.1",259.9
Hawaii,"1,428,557","4,417",35,447,619,994,"2,769","42,753","6,017","31,082","5,654",309.2,2.5,31.3,43.3,69.6,193.8,"2,992.7",421.2,"2,175.8",395.8
