Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 1993,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,4187000,32676,484,1471,,6677,24044,171598,45578,111878,14142,780.4,11.6,35.1,,159.5,574.3,4098.4,1088.6,2672,337.8
Alaska,599000,4557,54,502,,733,3268,28795,4893,21201,2701,760.8,9,83.8,,122.4,545.6,4807.2,816.9,3539.4,450.9
Arizona,3936000,28142,339,1488,,6412,19903,264371,57684,172689,33998,715,8.6,37.8,,162.9,505.7,6716.7,1465.5,4387.4,863.8
Arkansas,2424000,14381,247,1028,,3027,10079,102231,26646,67767,7818,593.3,10.2,42.4,,124.9,415.8,4217.5,1099.3,2795.7,322.5
California,31211000,336381,4096,11766,,126436,194083,1678884,414182,945407,319295,1077.8,13.1,37.7,,405.1,621.8,5379.1,1327,3029.1,1023
Colorado,3566000,20229,206,1633,,4160,14230,176856,36011,124787,16058,567.3,5.8,45.8,,116.7,399,4959.5,1009.8,3499.4,450.3
Connecticut,3277000,14949,206,800,,6447,7496,137443,32052,85876,19515,456.2,6.3,24.4,,196.7,228.7,4194.2,978.1,2620.6,595.5
Delaware,700000,4801,35,539,,1307,2920,29304,6244,20853,2207,685.9,5,77,,186.7,417.1,4186.3,892,2979,315.3
District of Columbia,578000,16888,454,324,,7107,9003,51091,11534,31495,8062,2921.8,78.5,56.1,,1229.6,1557.6,8839.3,1995.5,5449,1394.8
Florida,13679000,164975,1224,7359,,48913,107479,977363,251063,603784,122516,1206,8.9,53.8,,357.6,785.7,7145,1835.4,4413.9,895.7
Georgia,6917000,50019,789,2448,,17154,29628,378348,90423,246849,41076,723.1,11.4,35.4,,248,428.3,5469.8,1307.3,3568.7,593.8
Hawaii,1172000,3061,45,394,,1214,1408,70505,13310,51912,5283,261.2,3.8,33.6,,103.6,120.1,6015.8,1135.7,4429.4,450.8
Idaho,1099000,3097,32,388,,186,2491,39161,7350,29795,2016,281.8,2.9,35.3,,16.9,226.7,3563.3,668.8,2711.1,183.4
Illinois,11697000,112260,1332,4046,,44584,62298,544869,118788,360730,65351,959.7,11.4,34.6,,381.2,532.6,4658.2,1015.5,3084,558.7
Indiana,5713000,27941,430,2234,,6845,18432,227149,48677,154016,24456,489.1,7.5,39.1,,119.8,322.6,3976,852,2695.9,428.1
Iowa,2814000,9159,66,686,,1517,6890,99080,20562,73148,5370,325.5,2.3,24.4,,53.9,244.8,3521,730.7,2599.4,190.8
