Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 1991,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,4089000,34518,469,1455,,6246,26348,184882,51873,118151,14858,844.2,11.5,35.6,,152.8,644.4,4521.4,1268.6,2889.5,363.4
Alaska,570000,3499,42,523,,645,2289,29000,5582,20375,3043,613.9,7.4,91.8,,113.2,401.6,5087.7,979.3,3574.6,533.9
Arizona,3750000,25152,291,1590,,6215,17056,252559,60281,159987,32291,670.7,7.8,42.4,,165.7,454.8,6734.9,1607.5,4266.3,861.1
Arkansas,2372000,14072,264,1058,,3217,9533,108677,29093,71487,8097,593.3,11.1,44.6,,135.6,401.9,4581.7,1226.5,3013.8,341.4
California,30380000,331122,3859,12896,,124939,189428,1726391,424656,986120,315615,1089.9,12.7,42.4,,411.3,623.5,5682.7,1397.8,3246,1038.9
Colorado,3377000,18887,199,1588,,3628,13472,186235,39117,132717,14401,559.3,5.9,47,,107.4,398.9,5514.8,1158.3,3930,426.4
Connecticut,3291000,17761,187,960,,7384,9230,158770,39198,93384,26188,539.7,5.7,29.2,,224.4,280.5,4824.4,1191.1,2837.6,795.7
Delaware,680000,4857,37,588,,1460,2772,35055,7668,24836,2551,714.3,5.4,86.5,,214.7,407.6,5155.1,1127.6,3652.4,375.1
District of Columbia,598000,14671,482,214,,7269,6706,49722,12405,29182,8135,2453.3,80.6,35.8,,1215.6,1121.4,8314.7,2074.4,4879.9,1360.4
Florida,13277000,157243,1248,6865,,53083,96047,977570,266313,607222,104035,1184.3,9.4,51.7,,399.8,723.4,7362.9,2005.8,4573.5,783.6
Georgia,6623000,48894,849,2800,,17762,27483,381165,100317,240359,40489,738.2,12.8,42.3,,268.2,415,5755.2,1514.7,3629.2,611.3
Hawaii,1135000,2744,45,375,,986,1338,65020,14011,47195,3814,241.8,4,33,,86.9,117.9,5728.6,1234.4,4158.1,336
Idaho,1039000,3016,19,300,,215,2482,40578,8582,30143,1853,290.3,1.8,28.9,,20.7,238.9,3905.5,826,2901.2,178.3
Illinois,11543000,119955,1300,4615,,52653,61387,587868,129284,382942,75642,1039.2,11.3,40,,456.1,531.8,5092.9,1120,3317.5,655.3
Indiana,5610000,28349,423,2318,,6506,19102,241930,54814,161039,26077,505.3,7.5,41.3,,116,340.5,4312.5,977.1,2870.6,464.8
Iowa,2795000,8477,57,583,,1257,6580,107069,23267,79030,4772,303.3,2,20.9,,45,235.4,3830.7,832.5,2827.5,170.7
