Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 2000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,4447100,21620,329,1482,,5702,14107,180539,40331,127399,12809,486.2,7.4,33.3,,128.2,317.2,4059.7,906.9,2864.8,288
Alaska,626932,3554,27,497,,490,2540,23087,3899,16838,2350,566.9,4.3,79.3,,78.2,405.1,3682.5,621.9,2685.8,374.8
Arizona,5130632,27281,359,1577,,7504,17841,271811,51902,176705,43204,531.7,7,30.7,,146.3,347.7,5297.8,1011.6,3444.1,842.1
Arkansas,2673400,11904,168,848,,2001,8887,98115,21443,69740,6932,445.3,6.3,31.7,,74.8,332.4,3670,802.1,2608.7,259.3
California,33871648,210531,2079,9785,,60249,138418,1056183,222293,651855,182035,621.6,6.1,28.9,,177.9,408.7,3118.2,656.3,1924.5,537.4
Colorado,4301261,14367,134,1774,,3034,9425,156937,27133,112843,16961,334,3.1,41.2,,70.5,219.1,3648.6,630.8,2623.5,394.3
Connecticut,3405565,11058,98,678,,3832,6450,99033,17436,68498,13099,324.7,2.9,19.9,,112.5,189.4,2908,512,2011.4,384.6
Delaware,783600,5363,25,424,,1394,3520,29727,5216,21360,3151,684.4,3.2,54.1,,177.9,449.2,3793.6,665.6,2725.9,402.1
District of Columbia,572059,8626,239,251,,3554,4582,33000,4745,21655,6600,1507.9,41.8,43.9,,621.3,801,5768.6,829.5,3785.4,1153.7
Florida,15982378,129777,903,7057,,31809,90008,780377,172898,518298,89181,812,5.6,44.2,,199,563.2,4882.7,1081.8,3242.9,558
Georgia,8186453,41319,651,1968,,13250,25450,347630,68488,240440,38702,504.7,8,24,,161.9,310.9,4246.4,836.6,2937,472.8
Hawaii,1211537,2954,35,346,,1123,1450,60033,10665,43254,6114,243.8,2.9,28.6,,92.7,119.7,4955.1,880.3,3570.2,504.6
Idaho,1293953,3267,16,384,,223,2644,37961,7330,28545,2086,252.5,1.2,29.7,,17.2,204.3,2933.7,566.5,2206,161.2
Illinois,12419293,81196,898,3926,,25641,50731,445278,81850,313161,50267,653.8,7.2,31.6,,206.5,408.5,3585.4,659.1,2521.6,404.7
Indiana,6080485,21230,352,1759,,6282,12837,206905,41108,144707,21090,349.1,5.8,28.9,,103.3,211.1,3402.8,676.1,2379.9,346.8
Iowa,2926324,7796,46,676,,1071,6003,86834,16342,65118,5374,266.4,1.6,23.1,,36.6,205.1,2967.3,558.4,2225.2,183.6
