Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 2007,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,4627851,20775,412,1548,,7398,11417,184082,45379,124465,14238,448.9,8.9,33.4,,159.9,246.7,3977.7,980.6,2689.5,307.7
Alaska,683478,4520,43,545,,581,3351,23096,3734,16929,2433,661.3,6.3,79.7,,85,490.3,3379.2,546.3,2476.9,356
Arizona,6338755,32835,548,2353,,9764,20170,287308,59988,177076,50244,518,8.6,37.1,,154,318.2,4532.6,946.4,2793.5,792.6
Arkansas,2834797,15226,198,1294,,3105,10629,112130,32035,73096,6999,537.1,7,45.6,,109.5,374.9,3955.5,1130.1,2578.5,246.9
California,36553215,191561,2262,9046,,70706,109547,1112510,237850,654526,220134,524.1,6.2,24.7,,193.4,299.7,3043.5,650.7,1790.6,602.2
Colorado,4861515,17101,155,2075,,3461,11410,145808,28633,100519,16656,351.8,3.2,42.7,,71.2,234.7,2999.2,589,2067.6,342.6
Connecticut,3502309,10547,113,690,,4303,5441,86528,15640,60937,9951,301.1,3.2,19.7,,122.9,155.4,2470.6,446.6,1739.9,284.1
Delaware,864764,6100,39,341,,1763,3957,29216,6420,20454,2342,705.4,4.5,39.4,,203.9,457.6,3378.5,742.4,2365.3,270.8
District of Columbia,588292,8325,181,192,,4265,3687,28922,3926,17390,7606,1415.1,30.8,32.6,,725,626.7,4916.3,667.4,2956,1292.9
Florida,18251243,131878,1202,6149,,38155,86372,746249,181836,490783,73630,722.6,6.6,33.7,,209.1,473.2,4088.8,996.3,2689,403.4
Georgia,9544750,46917,720,2198,,17291,26708,371248,90294,238436,42518,491.5,7.5,23,,181.2,279.8,3889.6,946,2498.1,445.5
Hawaii,1283388,3544,24,377,,1122,2021,52866,9089,37494,6283,276.1,1.9,29.4,,87.4,157.5,4119.3,708.2,2921.5,489.6
Idaho,1499402,3841,49,607,,243,2942,34124,7131,24727,2266,256.2,3.3,40.5,,16.2,196.2,2275.8,475.6,1649.1,151.1
Illinois,12852548,68528,752,4103,,23100,40573,377322,75524,267911,33887,533.2,5.9,31.9,,179.7,315.7,2935.8,587.6,2084.5,263.7
Indiana,6345289,21310,350,1738,,7845,11377,213887,46485,147999,19403,335.8,5.5,27.4,,123.6,179.3,3370.8,732.6,2332.4,305.8
Iowa,2988046,8970,39,970,,1328,6633,79133,17176,57018,4939,300.2,1.3,32.5,,44.4,222,2648.3,574.8,1908.2,165.3
